set_code;set_name;set_rarity;set_price;release_date;region;language
JUSH-EN040;Justice Hunters;Starlight Rare;0;;;
FOTB-EN043;Force of the Breaker;Common;0;;;
GLAS-EN062;Gladiator's Assault;Common;0;;;
INOV-EN063;Invasion: Vengeance;Common;0;;;
STON-EN041;Strike of Neos;Common;0;;;
DUNE-EN056;Duelist Nexus;Quarter Century Secret Rare;0;;;
MP21-EN136;2021 Tin of Ancient Battles;Super Rare;0;;;
AMDE-EN042;Amazing Defenders;Rare;0;;;
ROTD-EN053;Rise of the Duelist;Ultra Rare;0;;;
MP21-EN137;2021 Tin of Ancient Battles;Super Rare;0;;;
ROTD-EN054;Rise of the Duelist;Common;1.04;;;
MP21-EN138;2021 Tin of Ancient Battles;Super Rare;0;;;
ROTD-EN055;Rise of the Duelist;Super Rare;0;;;
MP15-EN169;2015 Mega-Tin Mega Pack;Super Rare;0;;;
MP24-EN038;25th Anniversary Tin: Dueling Mirrors;Quarter Century Secret Rare;0;;;
NECH-EN059;The New Challengers;Super Rare;0;;;
NECH-ENS10;The New Challengers: Super Edition;Super Rare;17.04;;;
AST-070;Ancient Sanctuary;Common;1.07;;;
DR2-EN183;Dark Revelation Volume 2;Common;0;;;
DB1-EN198;Dark Beginning 1;Common;0;;;
PSV-088;Pharaoh's Servant;Common;1.28;;;
PSV-E088;Pharaoh's Servant;Common;0.00;;;
PSV-EN088;Pharaoh's Servant;Common;0;;;
RP02-EN022;Retro Pack 2;Common;0;;;
YSYR-EN010;Starter Deck: Yugi Reloaded;Common;1.38;;;
AST-091;Ancient Sanctuary;Short Print;2.29;;;
DR2-EN204;Dark Revelation Volume 2;Common;3.55;;;
GLD1-EN001;Gold Series;Common;0;;;
MRD-098;Metal Raiders;Common;1.85;;;
MRD-E098;Metal Raiders;Common;6.61;;;
MRD-EN098;Metal Raiders;Common;4.9;;;
SBC1-ENC09;Speed Duel: Streets of Battle City;Common;0;;;
SDJ-008;Starter Deck: Joey;Common;1.86;;;
SD4-EN002;Structure Deck: Fury from the Deep;Common;2.35;;;
BP03-EN135;Battle Pack 3: Monster League;Common;0;;;
DT02-EN038;Duel Terminal 2;Duel Terminal Normal Parallel Rare;0.00;;;
PSV-004;Pharaoh's Servant;Common;2.19;;;
PSV-E004;Pharaoh's Servant;Common;7.38;;;
PSV-EN004;Pharaoh's Servant;Common;0;;;
SBSC-EN029;Speed Duel: Scars of Battle;Common;1.24;;;
GLD1-EN007;Gold Series;Common;0;;;
PGD-024;Pharaonic Guardian;Common;1.5;;;
SUDA-EN049;Supreme Darkness;Quarter Century Secret Rare;0;;;
DR1-EN018;Dark Revelation Volume 1;Common;0;;;
PGD-070;Pharaonic Guardian;Common;3.22;;;
SS01-ENB11;Speed Duel Starter Decks: Destiny Masters;Common;2.51;;;
DCR-030;Dark Crisis;Common;1.87;;;
DCR-EN030;Dark Crisis;Common;0.00;;;
DR1-EN192;Dark Revelation Volume 1;Common;0;;;
LCJW-EN241;Legendary Collection 4: Joey's World Mega Pack;Rare;0;;;
CP03-EN018;Champion Pack: Game Three;Common;0;;;
DR3-EN157;Dark Revelation Volume 3;Super Rare;0;;;
FET-EN037;Flaming Eternity;Super Rare;0;;;
LCYW-EN280;Legendary Collection 3: Yugi's World Mega Pack;Secret Rare;0;;;
LEHD-ENA26;Legendary Hero Decks;Common;1.54;;;
YSDS-EN029;Starter Deck: Syrus Truesdale;Common;1.94;;;
